dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
Movies_and_TV,preference_negative,meteor,hit_rate_at_1,-0.5795792538774712,0.0790798812843314,"(-0.8859178733175312, 0.07880411256284606)"
Movies_and_TV,preference_negative,meteor,hit_rate_at_5,-0.12605850295256515,0.7285873242048801,"(-0.7001167154707354, 0.5469815887592538)"
Movies_and_TV,preference_negative,meteor,hit_rate_at_10,-0.4450761672175673,0.19741802892301763,"(-0.8394593734222893, 0.25640212698626974)"
Movies_and_TV,preference_negative,meteor,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,preference_negative,meteor,ndcg_at_5,-0.2374698931370293,0.5088504269335246,"(-0.7543133112178648, 0.46109862406909696)"
Movies_and_TV,preference_negative,meteor,ndcg_at_10,-0.3810360248004476,0.27732290879569105,"(-0.8151092244830291, 0.3270538680387603)"
Movies_and_TV,preference_negative,meteor,true_positive,-0.6598209358508739,0.037896694356706825,"(-0.9109864608902438, -0.05165366637655259)"
Movies_and_TV,preference_negative,meteor,true_negative,0.8872232415553573,0.0006163637826212279,"(0.583615950976093, 0.9732009279249768)"
Movies_and_TV,preference_negative,meteor,accuracy,-0.11371853411093663,0.7544327544046019,"(-0.6936774073295223, 0.5556956767093557)"
Movies_and_TV,preference_negative,bleu1,hit_rate_at_1,-0.2966349653627888,0.4052569338295189,"(-0.7804898245028249, 0.4094671833867827)"
Movies_and_TV,preference_negative,bleu1,hit_rate_at_5,-0.2513207608104791,0.4836639433062017,"(-0.7605923297847487, 0.4494211093666482)"
Movies_and_TV,preference_negative,bleu1,hit_rate_at_10,-0.4805715204658689,0.15974230813332246,"(-0.8523065159499665, 0.21372326582609402)"
Movies_and_TV,preference_negative,bleu1,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,preference_negative,bleu1,ndcg_at_5,-0.2925411480695021,0.4120771555940398,"(-0.7787316240530093, 0.41319156880111985)"
Movies_and_TV,preference_negative,bleu1,ndcg_at_10,-0.4522125052486826,0.1894636849113378,"(-0.8420781887723207, 0.2480357443354293)"
Movies_and_TV,preference_negative,bleu1,true_positive,-0.40292494541185087,0.2482955464681612,"(-0.8236082931532495, 0.3037638593285658)"
Movies_and_TV,preference_negative,bleu1,true_negative,0.6526567789393177,0.040789186823979966,"(0.03909632741694373, 0.9088212700944899)"
Movies_and_TV,preference_negative,bleu1,accuracy,-0.055960871778459056,0.8779682285117316,"(-0.662253058713749, 0.5946164025864004)"
Movies_and_TV,preference_negative,rouge1_f,hit_rate_at_1,-0.6149182818416568,0.05848840160175987,"(-0.8971832782421579, 0.024000110788671803)"
Movies_and_TV,preference_negative,rouge1_f,hit_rate_at_5,-0.06155017168562425,0.8658679181992237,"(-0.6653902017683695, 0.5909786843129814)"
Movies_and_TV,preference_negative,rouge1_f,hit_rate_at_10,-0.405509615617883,0.24498484778747248,"(-0.8245995543722556, 0.3009568405573823)"
Movies_and_TV,preference_negative,rouge1_f,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,preference_negative,rouge1_f,ndcg_at_5,-0.256579621027847,0.47424544437674665,"(-0.7629516358452729, 0.44492379739052157)"
Movies_and_TV,preference_negative,rouge1_f,ndcg_at_10,-0.39374962199652147,0.2602481327376889,"(-0.8200685349560356, 0.31363039460997943)"
Movies_and_TV,preference_negative,rouge1_f,true_positive,-0.6414132330680101,0.04562199047153644,"(-0.9053951299193213, -0.019771777828624975)"
Movies_and_TV,preference_negative,rouge1_f,true_negative,0.8913088258825211,0.0005345085480585366,"(0.5963478663218211, 0.9742143402482737)"
Movies_and_TV,preference_negative,rouge1_f,accuracy,-0.10727836007837988,0.7680107395832821,"(-0.6902795378943752, 0.5601858486076378)"
