dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
Movies_and_TV,iterative,meteor,hit_rate_at_1,0.1917993460676445,0.5955356320503329,"(-0.49796177012298837, 0.7329171674746486)"
Movies_and_TV,iterative,meteor,hit_rate_at_5,-0.2504841495059611,0.4851697082665922,"(-0.7602157528546206, 0.45013330899313203)"
Movies_and_TV,iterative,meteor,hit_rate_at_10,-0.006991237922156977,0.9847074145218301,"(-0.6338275137242263, 0.6253879371565829)"
Movies_and_TV,iterative,meteor,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,iterative,meteor,ndcg_at_5,-0.34273835781559675,0.332297676005827,"(-0.7997754483986687, 0.36583381265803355)"
Movies_and_TV,iterative,meteor,ndcg_at_10,-0.19137592757486135,0.5963635640570092,"(-0.7327136627122263, 0.49829225632922797)"
Movies_and_TV,iterative,meteor,true_positive,-0.21049915399800292,0.5593996235509162,"(-0.7418091787831953, 0.48316362578835537)"
Movies_and_TV,iterative,meteor,true_negative,-0.1875565000578952,0.6038506813352504,"(-0.7308735711578089, 0.5012643621138949)"
Movies_and_TV,iterative,meteor,accuracy,-0.33811183463701583,0.33929161070385244,"(-0.7978817862192061, 0.3703577415597787)"
Movies_and_TV,iterative,bleu1,hit_rate_at_1,0.15962360857383506,0.6595850818527411,"(-0.5225173712381076, 0.7171718293028333)"
Movies_and_TV,iterative,bleu1,hit_rate_at_5,-0.2780304028476678,0.4366818566171037,"(-0.7724374664018929, 0.4262053903853613)"
Movies_and_TV,iterative,bleu1,hit_rate_at_10,0.001591341153374108,0.996518950042298,"(-0.6286648501343473, 0.630585825920156)"
Movies_and_TV,iterative,bleu1,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,iterative,bleu1,ndcg_at_5,-0.32041567095451023,0.3667260709069143,"(-0.7905539340492089, 0.3873568209048955)"
Movies_and_TV,iterative,bleu1,ndcg_at_10,-0.2660024461660732,0.45757343613710333,"(-0.767145568125245, 0.43677603806287335)"
Movies_and_TV,iterative,bleu1,true_positive,-0.03348295868994402,0.9268380870863624,"(-0.6494183821865273, 0.6089817434240464)"
Movies_and_TV,iterative,bleu1,true_negative,-0.022926250543606027,0.9498751787304955,"(-0.6432670107296555, 0.6155860157056374)"
Movies_and_TV,iterative,bleu1,accuracy,-0.11608126127530108,0.7494663068416849,"(-0.6949175558453413, 0.5540385027498635)"
Movies_and_TV,iterative,rouge1_f,hit_rate_at_1,0.1687900347203789,0.6411125401916665,"(-0.5156352151621257, 0.7217162018877109)"
Movies_and_TV,iterative,rouge1_f,hit_rate_at_5,-0.2550070386026348,0.4770534402366018,"(-0.7622475320780783, 0.4462723687548844)"
