dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
Movies_and_TV,vanilla_structured,meteor,hit_rate_at_1,0.08204714957827507,0.8217251873836573,"(-0.5774074681795214, 0.6767150004907792)"
Movies_and_TV,vanilla_structured,meteor,hit_rate_at_5,-0.47136547090880254,0.16906039738836148,"(-0.8490170209154376, 0.2250529729698927)"
Movies_and_TV,vanilla_structured,meteor,hit_rate_at_10,-0.5294528254798917,0.11552187375368508,"(-0.8692936381751455, 0.1502656423026387)"
Movies_and_TV,vanilla_structured,meteor,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,meteor,ndcg_at_5,-0.38727694077513336,0.2688669751318289,"(-0.8175516526558381, 0.3204999982406181)"
Movies_and_TV,vanilla_structured,meteor,ndcg_at_10,-0.38727694077513336,0.2688669751318289,"(-0.8175516526558381, 0.3204999982406181)"
Movies_and_TV,vanilla_structured,meteor,true_positive,-0.7113393013036947,0.021067232021023976,"(-0.9261592925056842, -0.14799807097053488)"
Movies_and_TV,vanilla_structured,meteor,true_negative,-0.31615266075921483,0.3734946962992505,"(-0.7887682975842694, 0.39138121290922867)"
Movies_and_TV,vanilla_structured,meteor,accuracy,-0.773263755703496,0.008704320413883861,"(-0.9435207517090471, -0.27992257497313794)"
Movies_and_TV,vanilla_structured,bleu1,hit_rate_at_1,0.06597585930162238,0.8563043764557592,"(-0.588079336839557, 0.6678591976523607)"
Movies_and_TV,vanilla_structured,bleu1,hit_rate_at_5,-0.5881773468222983,0.07369483136945841,"(-0.8886924571685917, 0.06582667175549377)"
Movies_and_TV,vanilla_structured,bleu1,hit_rate_at_10,-0.7027826835396934,0.02340809825053611,"(-0.9236865129709985, -0.13121996671919095)"
Movies_and_TV,vanilla_structured,bleu1,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,bleu1,ndcg_at_5,-0.49466557584963233,0.14608874509896821,"(-0.8572862524558414, 0.19600842065318413)"
Movies_and_TV,vanilla_structured,bleu1,ndcg_at_10,-0.49466557584963233,0.14608874509896821,"(-0.8572862524558414, 0.19600842065318413)"
