dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
Movies_and_TV,vanilla,meteor,hit_rate_at_1,0.36490150457752085,0.2998415408277101,"(-0.3436875564121284, 0.8087225238299182)"
Movies_and_TV,vanilla,meteor,hit_rate_at_5,-0.2705334729267906,0.44965148223808005,"(-0.7691471085158939, 0.4328166464768829)"
Movies_and_TV,vanilla,meteor,hit_rate_at_10,-0.565456029714529,0.08846530099718958,"(-0.8813122614608548, 0.09964729861790755)"
Movies_and_TV,vanilla,meteor,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,meteor,ndcg_at_5,-0.3381597550920611,0.33921878641670344,"(-0.7979014469513527, 0.37031105537558306)"
Movies_and_TV,vanilla,meteor,ndcg_at_10,-0.22676096839774293,0.5286897009904175,"(-0.7493929394517233, 0.4699643345873028)"
Movies_and_TV,vanilla,meteor,true_positive,-0.23379013776704058,0.5156321810791176,"(-0.7526291164751358, 0.4641608317790638)"
Movies_and_TV,vanilla,meteor,true_negative,-0.21997957980295085,0.5414123732856226,"(-0.7462469933645918, 0.47550674910561663)"
Movies_and_TV,vanilla,meteor,accuracy,-0.04715029858759582,0.8970877147426274,"(-0.6572643475553798, 0.6002970615235496)"
Movies_and_TV,vanilla,bleu1,hit_rate_at_1,0.3186595143509869,0.3695069929444626,"(-0.3890179517270181, 0.7898193041364424)"
Movies_and_TV,vanilla,bleu1,hit_rate_at_5,-0.17750629765922976,0.6237100013293669,"(-0.7259936372508339, 0.5090080870003818)"
Movies_and_TV,vanilla,bleu1,hit_rate_at_10,-0.5228226250088824,0.12100736865463517,"(-0.8670356404288279, 0.15921429465939654)"
Movies_and_TV,vanilla,bleu1,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,bleu1,ndcg_at_5,-0.32542813700981243,0.3588462418962802,"(-0.792643316760602, 0.3825901670148074)"
Movies_and_TV,vanilla,bleu1,ndcg_at_10,-0.2620413780646025,0.46454961407632445,"(-0.7653877711027233, 0.4402152130258747)"
Movies_and_TV,vanilla,bleu1,true_positive,-0.25537801605070365,0.4763903713183393,"(-0.7624137407673197, 0.44595452306726757)"
Movies_and_TV,vanilla,bleu1,true_negative,-0.22254925352159435,0.5365770600270421,"(-0.7474418603940981, 0.47341303707353577)"
Movies_and_TV,vanilla,bleu1,accuracy,-0.07266294205493443,0.8418864005146238,"(-0.671564816711737, 0.583666387011287)"
Movies_and_TV,vanilla,rouge1_f,hit_rate_at_1,0.3633190776955485,0.30210079679175605,"(-0.3452953444033857, 0.8080904482078214)"
Movies_and_TV,vanilla,rouge1_f,hit_rate_at_5,-0.32904567161045734,0.35321256734228396,"(-0.7941444526562292, 0.37912645974047704)"
Movies_and_TV,vanilla,rouge1_f,hit_rate_at_10,-0.578925865264464,0.07949919484781573,"(-0.8857061262989033, 0.07978125832115464)"
Movies_and_TV,vanilla,rouge1_f,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,rouge1_f,ndcg_at_5,-0.3743249650701039,0.28657464042743264,"(-0.812465469028671, 0.33402626252621814)"
Movies_and_TV,vanilla,rouge1_f,ndcg_at_10,-0.26293570029623686,0.46297043756193146,"(-0.7657853005623881, 0.4394405195978261)"
Movies_and_TV,vanilla,rouge1_f,true_positive,-0.25145645428621516,0.4834199078592253,"(-0.7606533760863833, 0.44930551072078484)"
Movies_and_TV,vanilla,rouge1_f,true_negative,-0.2063351199128452,0.5673722332622779,"(-0.7398451624129978, 0.4864935067628284)"
Movies_and_TV,vanilla,rouge1_f,accuracy,-0.08748325235429455,0.8100882850321085,"(-0.6796720238097554, 0.573745984669225)"
Movies_and_TV,vanilla,bleu4,hit_rate_at_1,0.20988817641602828,0.5605667012395498,"(-0.48365346976483764, 0.7415215733403935)"
Movies_and_TV,vanilla,bleu4,hit_rate_at_5,-0.20744907184734154,0.5652351740203528,"(-0.7403714635722881, 0.4856046730924934)"
Movies_and_TV,vanilla,bleu4,hit_rate_at_10,-0.4799226693082623,0.16038868616232593,"(-0.8520756284848188, 0.21452795972920904)"
Movies_and_TV,vanilla,bleu4,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,bleu4,ndcg_at_5,-0.3338744335103754,0.34576269339193966,"(-0.796139395683515, 0.3744718979484219)"
Movies_and_TV,vanilla,bleu4,ndcg_at_10,-0.11635130885004065,0.7488991915172687,"(-0.6950590795248185, 0.5538487574897148)"
Movies_and_TV,vanilla,bleu4,true_positive,-0.38729513849442426,0.2688425275224443,"(-0.8175587519024724, 0.32048078838870203)"
Movies_and_TV,vanilla,bleu4,true_negative,-0.22199274941184752,0.5376227520896028,"(-0.7471833805269877, 0.4738671321609126)"
Movies_and_TV,vanilla,bleu4,accuracy,-0.15158722409870456,0.6759181328361239,"(-0.713148295561762, 0.5284788426479847)"
Movies_and_TV,vanilla,bleu3,hit_rate_at_1,0.2556352052506531,0.47593091912152247,"(-0.44573406489039474, 0.7625289297554843)"
Movies_and_TV,vanilla,bleu3,hit_rate_at_5,-0.19602519199962598,0.5872956891953032,"(-0.7349429149093049, 0.4946524020716314)"
